0
Cell ID 	 Celda Direccion 	 Celda Num 	 Celda Localidad 	 Celda Provincia 	 Radio Cobertura (en KM) 	 Azimuth 	 Latitud 	 Longitud
 ZSFFLOL11 	 ARENALES 	 7262	 SANTA FE	 SANTA FE	 1.9 	 5 	 -31.6068986	 -60.7240183
 ZSFPGAN13 	 CATAMARCA 	 3750	 SANTA FE	 SANTA FE	 0.89 	 240 	 35.69213486	 -105.93959045
 ZSFCOLM16 	 B. CENTENARIO MZA 08 ESC 	 11	 SANTA FE	 SANTA FE	 4 	 290 	 -32.81131455	 -61.41171015
 ZSTPLAL12 	 12 DE SEPTIEMBRE 	 740	 SANTO TOME - SE	 SANTA FE	 4 	 197 	 -31.67807521	 -60.78428477
 ZSFCERN13 	 NECOCHEA GRAL MARIANO 	 2953	 SANTA FE	 SANTA FE	 0.4 	 243 	 -33.04196918	 -61.17523711
 ZSFCERM13 	 NECOCHEA GRAL MARIANO 	 2953	 SANTA FE	 SANTA FE	 0.4 	 245 	 -33.04196918	 -61.17523711
 ZSFSLOF13 	 LAMADRID 	 997	 SANTA FE	 SANTA FE	 3 	 260 	 -31.65668094	 -60.73130896
 ZSFCOLL12 	 B. CENTENARIO MZA 08 ESC 	 11	 SANTA FE	 SANTA FE	 4.73 	 145 	 -32.81131455	 -61.41171015
 ZSFSLOV13 	 LAMADRID 	 997	 SANTA FE	 SANTA FE	 4 	 259 	 -31.65668094	 -60.73130896
 ZSFSLON13 	 LAMADRID 	 997	 SANTA FE	 SANTA FE	 3 	 260 	 -31.65668094	 -60.73130896
 ZSTPLAN12 	 12 DE SEPTIEMBRE 	 740	 SANTO TOME - SE	 SANTA FE	 4 	 200 	 -31.67807521	 -60.78428477
 ZSFCOLN13 	 B. CENTENARIO MZA 08 ESC 	 11	 SANTA FE	 SANTA FE	 2.69 	 263 	 -32.81131455	 -61.41171015
 ZSFCANF12 	 DEL CAMPILLO JUAN 	 1376	 SANTA FE	 SANTA FE	 2.37 	 120 	 -31.6328892	 -60.68818275
 ZSFMAKF13 	 MATACOS 	 5048	 SANTA FE	 SANTA FE	 2.18 	 280 	 -32.9341499	 -60.6927869
 ZSFLLEF13 	 LLERENA JUAN 	 1147	 SANTA FE	 SANTA FE	 1.92 	 237 	 -31.61705652	 -60.68124487
 ZSTPLAL11 	 12 DE SEPTIEMBRE 	 740	 SANTO TOME - SE	 SANTA FE	 4 	 27 	 -31.67807521	 -60.78428477
 ZSFSLON12 	 LAMADRID 	 997	 SANTA FE	 SANTA FE	 3 	 140 	 -31.65668094	 -60.73130896
 ZSFCOLL13 	 B. CENTENARIO MZA 08 ESC 	 11	 SANTA FE	 SANTA FE	 2.69 	 265 	 -32.81131455	 -61.41171015
 ZSFURQN13 	 JUJUY 	 3051	 SANTA FE	 SANTA FE	 0.62 	 263 	 35.69213486	 -105.93959045
 ZSFPALN13 	 25 DE MAYO 	 2536	 SANTA FE	 SANTA FE	 1 	 240 	 -33.23029327	 -60.343853
 ZSFCORF11 	 SAN MARTIN 	 2081	 SANTA FE	 SANTA FE	 1 	 357 	 -31.65176111	 -60.70821788
 ZSFCORM14 	 SAN MARTIN 	 2081	 SANTA FE	 SANTA FE	 1 	 32 	 -31.65176111	 -60.70821788
 ZSFCORN11 	 SAN MARTIN 	 2081	 SANTA FE	 SANTA FE	 0.57 	 1 	 -31.65176111	 -60.70821788
 ZSFFLOF11 	 ARENALES 	 7262	 SANTA FE	 SANTA FE	 2.3 	 0 	 -31.6068986	 -60.7240183
 ZSFGORM11 	 REGIMIENTO 12 INFANTERIA 	 5348	 SANTA FE	 SANTA FE	 2 	 65 	 -31.59134997	 -60.72647561
 ZSFCOLF12 	 B. CENTENARIO MZA 08 ESC 	 11	 SANTA FE	 SANTA FE	 5.23 	 140 	 -32.81131455	 -61.41171015
 ZSTPLAO11 	 12 DE SEPTIEMBRE 	 740	 SANTO TOME - SE	 SANTA FE	 2.01 	 29 	 -31.67807521	 -60.78428477
" ZSFYAGF12 	 PARERA BLAS ,AV. 	 5883	 SANTA FE	 SANTA FE	 2 	 120 	 -31.60927167	 -60.71933754"
 ZSFSLOM13 	 LAMADRID 	 997	 SANTA FE	 SANTA FE	 4 	 260 	 -31.65668094	 -60.73130896
 ZSFCOLF13 	 B. CENTENARIO MZA 08 ESC 	 11	 SANTA FE	 SANTA FE	 0.96 	 260 	 -32.81131455	 -61.41171015
 ZSFURQL13 	 JUJUY 	 3051	 SANTA FE	 SANTA FE	 0.62 	 265 	 35.69213486	 -105.93959045
 ZSFCOLN12 	 B. CENTENARIO MZA 08 ESC 	 11	 SANTA FE	 SANTA FE	 5.7 	 143 	 -32.81131455	 -61.41171015
 ZSFSLOL13 	 LAMADRID 	 997	 SANTA FE	 SANTA FE	 3 	 257 	 -31.65668094	 -60.73130896
 ZSTOCEM11 	 IRIGOYEN H 	 2259	 SANTO TOME - SE	 SANTA FE	 2 	 0 	 35.23818833	 -106.6926051
" ZBARRAL11 	 PAGANINI ,AV. 	 655	 BARRANCAS - SF	 SANTA FE	 5.22 	 359 	 -32.23418427	 -60.98116684"
 ZCARRIM12 	 MONTEAGUDO 	 624	 CARRIZALES CLARKE	 SANTA FE	 5.1 	 120 	 -19.80283928	 -63.95510483
 ZRNALEM11 	 MATHEU 	 3252	 ROSARIO	 SANTA FE	 3 	 90 	 -32.88914578	 -60.73037677
 ZVGGALN12 	 MALVINAS ARGENTINAS 	 2221	 VILLA GDOR GALVEZ	 SANTA FE	 1.46 	 208 	 -32.41340805	 -63.22124222
 BSNOESL12 	 SAN JUAN 	 630	 SAN NICOLAS DE LOS ARROYO	 BUENOS AIRES	 4.59 	 207 	 -33.33228021	 -60.24432258
 BRTALAL13 	 RUTA 9 	 154	 RIO TALA	 BUENOS AIRES	 5.27 	 247 	 -32.56099	 -57.48179
 NK92TPL13 	 RUTA N 9 	 92	 ZARATE	 BUENOS AIRES	 7.8 	 291 	 14.65289	 120.99117
" NTCRTPF13 	 009 ,RUTA NAC. 	 95501	 ZARATE	 BUENOS AIRES	 3.11 	 311 	 40.79045105	 -124.15735626"
 NSF2TPN11 	 OLAZABAL 	 3013	 BOULOGNE	 BUENOS AIRES	 0.92 	 90 	 -34.49061442	 -58.59325349
 STVSTPL13 	 AGRELO 	 899	 CIUDAD MADERO	 BUENOS AIRES	 0.88 	 291 	 -34.68513923	 -58.50698281
 SCROTPL11 	 SANCHEZ FLORENCIO 	 245	 LA TABLADA	 BUENOS AIRES	 0.88 	 91 	 -34.68464692	 -58.51981399
 SGQUIVM11 	 TILCARA 	 340	 BANFIELD	 BUENOS AIRES	 1.8 	 328 	 -23.57678986	 -65.39339447
 SGQUIVF11 	 TILCARA 	 340	 BANFIELD	 BUENOS AIRES	 1.13 	 10 	 -23.57678986	 -65.39339447
 SGQUIVN11 	 TILCARA 	 340	 BANFIELD	 BUENOS AIRES	 1.62 	 10 	 -23.57678986	 -65.39339447
 CBCYTPF11 	 HELGUERA 	 176	 CAPITAL FEDERAL	 CAPITAL FEDERAL	 0.6 	 90 	 -34.67841962	 -58.52640658
 CBCYTPO11 	 HELGUERA 	 176	 CAPITAL FEDERAL	 CAPITAL FEDERAL	 0.23 	 90 	 -34.67841962	 -58.52640658
 CARATPN12 	 ARANGUREN DR JUAN F 	 2868	 CAPITAL FEDERAL	 CAPITAL FEDERAL	 0.37 	 214 	 -34.6252169	 -58.4715763
 NPICIPL11 	 TIERRA DEL FUEGO 	 1065	 GARIN	 BUENOS AIRES	 1.9 	 89 	 -34.4378454	 -58.71958361
 NGARTPF11 	 ANDES 	 7	 GARIN	 BUENOS AIRES	 1 	 89 	 -19.67761421	 -69.43118286
 ZSTPLAN13 	 12 DE SEPTIEMBRE 	 740	 SANTO TOME - SE	 SANTA FE	 4 	 300 	 -31.67807521	 -60.78428477
 ZSFCOLM15 	 B. CENTENARIO MZA 08 ESC 	 11	 SANTA FE	 SANTA FE	 5 	 150 	 -32.81131455	 -61.41171015
 ZSFCOLM12 	 B. CENTENARIO MZA 08 ESC 	 11	 SANTA FE	 SANTA FE	 4.48 	 145 	 -32.81131455	 -61.41171015
 ZSFNORF12 	 SILVA GENARO 	 5852	 SANTA FE	 SANTA FE	 2.11 	 120 	 -31.56787143	 -60.7292102
 ZSFCOLO12 	 B. CENTENARIO MZA 08 ESC 	 11	 SANTA FE	 SANTA FE	 7.32 	 143 	 -32.81131455	 -61.41171015
 ZSFCOLO15 	 B. CENTENARIO MZA 08 ESC 	 11	 SANTA FE	 SANTA FE	 7.38 	 0 	 -32.81131455	 -61.41171015
 ZSFCOLM13 	 B. CENTENARIO MZA 08 ESC 	 11	 SANTA FE	 SANTA FE	 0.96 	 265 	 -32.81131455	 -61.41171015
 ZSFC13F13 	 SARMIENTO DOMINGO F 	 3451	 SANTA FE	 SANTA FE	 1 	 237 	 -33.03296519	 -61.17492051
 ZSFUNIL11 	 CRESPO GDOR DOMINGO 	 3346	 SANTA FE	 SANTA FE	 1.39 	 357 	 -31.62890921	 -60.71119838
 ZSTPLAM12 	 12 DE SEPTIEMBRE 	 740	 SANTO TOME - SE	 SANTA FE	 4 	 200 	 -31.67807521	 -60.78428477
 ZSFPMUL13 	 DE LA TORRE LISANDRO 	 2951	 SANTA FE	 SANTA FE	 1.43 	 237 	 -31.6506729	 -60.7124999
 ZSFPMUM13 	 DE LA TORRE LISANDRO 	 2951	 SANTA FE	 SANTA FE	 2 	 240 	 -31.6506729	 -60.7124999
 ZSTALBL13 	 CHAPEARUOGE 	 518	 SANTO TOME - SE	 SANTA FE	 8 	 337 	 -10.89687676	 -37.03692221
 ZSTPLAM13 	 12 DE SEPTIEMBRE 	 740	 SANTO TOME - SE	 SANTA FE	 4 	 300 	 -31.67807521	 -60.78428477
 ZSFSLOL12 	 LAMADRID 	 997	 SANTA FE	 SANTA FE	 3 	 137 	 -31.65668094	 -60.73130896
 ZSTPLAV13 	 12 DE SEPTIEMBRE 	 740	 SANTO TOME - SE	 SANTA FE	 8 	 299 	 -31.67807521	 -60.78428477
 ZSVIEJL12 	 RIVADAVIA 	 1064	 SAUCE VIEJO	 SANTA FE	 4.22 	 157 	 -29.14926055	 -59.64978536
 ZSVIEJL13 	 RIVADAVIA 	 1064	 SAUCE VIEJO	 SANTA FE	 4.69 	 277 	 -29.14926055	 -59.64978536
 ZSVIEJN12 	 RIVADAVIA 	 1064	 SAUCE VIEJO	 SANTA FE	 6.38 	 160 	 -29.14926055	 -59.64978536
 ZSVIEJV13 	 RIVADAVIA 	 1064	 SAUCE VIEJO	 SANTA FE	 8 	 279 	 -29.14926055	 -59.64978536
 ZSVIEJN13 	 RIVADAVIA 	 1064	 SAUCE VIEJO	 SANTA FE	 7.37 	 280 	 -29.14926055	 -59.64978536
 ZSVIEJO13 	 RIVADAVIA 	 1064	 SAUCE VIEJO	 SANTA FE	 8 	 279 	 -29.14926055	 -59.64978536
 ZSTMALM12 	 MALVINAS ARGENTINAS 	 3249	 SANTO TOME - SE	 SANTA FE	 8 	 119 	 -31.66838604	 -60.72541111
 ZSFCOLH12 	 B. CENTENARIO MZA 08 ESC 	 11	 SANTA FE	 SANTA FE	 1 	 143 	 -32.81131455	 -61.41171015
 ZSFURQH13 	 JUJUY 	 3051	 SANTA FE	 SANTA FE	 0.62 	 263 	 35.69213486	 -105.93959045
 ZSFSLOH12 	 LAMADRID 	 997	 SANTA FE	 SANTA FE	 3 	 139 	 -31.65668094	 -60.73130896
 ZSTOCEN13 	 IRIGOYEN H 	 2259	 SANTO TOME - SE	 SANTA FE	 6.18 	 240 	 35.23818833	 -106.6926051
 ZSFCOLH13 	 B. CENTENARIO MZA 08 ESC 	 11	 SANTA FE	 SANTA FE	 3 	 263 	 -32.81131455	 -61.41171015
" ZSFPELF11 	 PELLEGRINI DR C ,BVD. 	 3852	 SANTA FE	 SANTA FE	 8 	 0 	 -31.63205113	 -60.71918805"
 ZSFANFF13 	 SAN JERONIMO 	 1165	 SANTA FE	 SANTA FE	 1 	 269 	 -31.66193653	 -60.71258871
 ZSFANFL13 	 SAN JERONIMO 	 1165	 SANTA FE	 SANTA FE	 0.39 	 269 	 -31.66193653	 -60.71258871
 ZSTOCEF11 	 IRIGOYEN H 	 2259	 SANTO TOME - SE	 SANTA FE	 3 	 357 	 35.23818833	 -106.6926051
" ZSFWMAL11 	 168 ,RUTA NAC. 	 474	 SANTA FE	 SANTA FE	 2.37 	 85 	 -30.94009521	 -60.65929661"
 ZSFZASL13 	 SAN MARTIN 	 1707	 SANTA FE	 SANTA FE	 0.73 	 237 	 -31.6557119	 -60.7094499
 ZSFCNTN11 	 SUIPACHA 	 2549	 SANTA FE	 SANTA FE	 1 	 3 	 -31.64021603	 -60.70426488
 ZSFCNTL11 	 SUIPACHA 	 2549	 SANTA FE	 SANTA FE	 1 	 5 	 -31.64021603	 -60.70426488
 ZSFCNTF11 	 SUIPACHA 	 2549	 SANTA FE	 SANTA FE	 0.9 	 0 	 -31.64021603	 -60.70426488
 ZSTPLAH13 	 12 DE SEPTIEMBRE 	 740	 SANTO TOME - SE	 SANTA FE	 8 	 299 	 -31.67807521	 -60.78428477
 ZSFPALF13 	 25 DE MAYO 	 2536	 SANTA FE	 SANTA FE	 1 	 240 	 -33.23029327	 -60.343853
 ZRINCAM13 	 LABORIE CLJ 	 1544	 SAN JOSE DEL RINCON	 SANTA FE	 5 	 284 	 -31.6154727	 -60.60059715
 ZSFMAKM13 	 MATACOS 	 5048	 SANTA FE	 SANTA FE	 2.18 	 285 	 -32.9341499	 -60.6927869
 ZSFMAKN13 	 MATACOS 	 5048	 SANTA FE	 SANTA FE	 2.18 	 283 	 -32.9341499	 -60.6927869
 ZSTPLAH12 	 12 DE SEPTIEMBRE 	 740	 SANTO TOME - SE	 SANTA FE	 8 	 199 	 -31.67807521	 -60.78428477
 ZSTPLAM11 	 12 DE SEPTIEMBRE 	 740	 SANTO TOME - SE	 SANTA FE	 4 	 30 	 -31.67807521	 -60.78428477
" ZSFBELL13 	 GALVEZ DR JOSE ,BVD. 	 2162	 SANTA FE	 SANTA FE	 0.76 	 240 	 -32.96613765	 -60.65830449"
 ZSFC13L13 	 SARMIENTO DOMINGO F 	 3451	 SANTA FE	 SANTA FE	 0.78 	 237 	 -33.03296519	 -61.17492051
" ZSFBELF13 	 GALVEZ DR JOSE ,BVD. 	 2162	 SANTA FE	 SANTA FE	 1 	 240 	 -32.96613765	 -60.65830449"
 ZSFC13N13 	 SARMIENTO DOMINGO F 	 3451	 SANTA FE	 SANTA FE	 0.78 	 240 	 -33.03296519	 -61.17492051
 ZSFANFH12 	 SAN JERONIMO 	 1165	 SANTA FE	 SANTA FE	 6.04 	 150 	 -31.66193653	 -60.71258871
" ZSFWMAO12 	 168 ,RUTA NAC. 	 474	 SANTA FE	 SANTA FE	 6.75 	 203 	 -30.94009521	 -60.65929661"
" ZSFWMAM13 	 168 ,RUTA NAC. 	 474	 SANTA FE	 SANTA FE	 3 	 325 	 -30.94009521	 -60.65929661"
" ZSFWMAN11 	 168 ,RUTA NAC. 	 474	 SANTA FE	 SANTA FE	 2.37 	 83 	 -30.94009521	 -60.65929661"
" ZSFWMAM12 	 168 ,RUTA NAC. 	 474	 SANTA FE	 SANTA FE	 5 	 205 	 -30.94009521	 -60.65929661"
 ZSFPUEF11 	 VELEZ SARSFIELD 	 3449	 SANTA FE	 SANTA FE	 6 	 0 	 -31.63979335	 -60.68612612
